Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
-2.81,103,NOAA19,8:08:56 AM,20161022,ASMC,SUMATERA SELATAN,MUSIRAWAS,KARANG DAPO,KERTASARI,
1.37,99.52,NOAA19,8:08:56 AM,20161022,ASMC,SUMATERA UTARA,PADANG LAWAS UTARA,BATANG ONANG,TAMOSU,
0.63,111.06,NOAA19,7:09:41 AM,20160922,ASMC,KALIMANTAN BARAT,SANGGAU,JANGKANG,KETORI,
0.45,111.07,NOAA19,7:09:41 AM,20160922,ASMC,KALIMANTAN BARAT,SEKADAU,BELITANG HULU,SEI TAPAH,
0.32,111.21,NOAA19,7:09:41 AM,20160922,ASMC,KALIMANTAN BARAT,SEKADAU,BELITANG,SETUNTUNG,
-0.155,112.315,NOAA19,7:09:41 AM,20160922,ASMC,KALIMANTAN BARAT,SINTANG,KAYAN HULU,LINTANG TAMBUK,
-7.77,113.91,NOAA19,7:09:41 AM,20160922,ASMC,JAWA TIMUR,SITUBONDO,,,
-0.16,113.76,NOAA19,7:09:41 AM,20160922,ASMC,KALIMANTAN TENGAH,MURUNGRAYA,SUMBER BARITO,TUMBANG NAAN,
-1.76,110.64,NOAA19,7:09:41 AM,20160922,ASMC,KALIMANTAN BARAT,KETAPANG,TUMBANG TITI,BATU TAJAM,
-1.88,110.77,NOAA19,7:09:41 AM,20160922,ASMC,KALIMANTAN BARAT,KETAPANG,TUMBANG TITI,MAHAWA,
-2.593,121.377,NOAA19,7:09:41 AM,20160922,ASMC,SULAWESI SELATAN,LUWU TIMUR,TOWUTI,ASULI,
-2.585,121.38,NOAA19,7:04:00 AM,20161202,ASMC,SULAWESI SELATAN,LUWU TIMUR,NUHA,MAGANI,
2.06,100.51,NOAA19,7:45:53 AM,20161024,ASMC,RIAU,ROKAN HILIR,KECAMATAN KUBU,SUNGAI KUBU,
-4.52,105.46,NOAA19,7:45:53 AM,20161024,ASMC,LAMPUNG,LAMPUNG TENGAH,BANDAR MATARAM,MATARAM UDIK,
0.41,100.44,NOAA19,7:35:20 AM,20161025,ASMC,SUMATERA BARAT,LIMAPULUHKOTO,ROKAN IV KOTO,ROKAN,
2.265,99.665,NOAA19,7:35:20 AM,20161025,ASMC,SUMATERA UTARA,LABUHANBATU UTARA,NA IX-X,BANGUN REJO,
2.062,100.512,NOAA19,7:35:20 AM,20161025,ASMC,RIAU,ROKAN HILIR,KECAMATAN KUBU,SUNGAI KUBU,
